,TS1_V2_turnbaugh,TS10_V2_turnbaugh,TS100_V2_turnbaugh,TS101.2_V2_turnbaugh,TS103_V2_turnbaugh,TS104_V2_turnbaugh,TS105_V2_turnbaugh,TS106_V2_turnbaugh,TS107_V2_turnbaugh,TS109_V2_turnbaugh,TS11_V2_turnbaugh,TS110_V2_turnbaugh,TS111_V2_turnbaugh,TS115_V2_turnbaugh,TS116_V2_turnbaugh,TS117_V2_turnbaugh,TS118_V2_turnbaugh,TS119_V2_turnbaugh,TS12_V2_turnbaugh,TS120_V2_turnbaugh,TS124_V2_turnbaugh,TS125_V2_turnbaugh,TS126_V2_turnbaugh,TS127_V2_turnbaugh,TS128_V2_turnbaugh,TS129_V2_turnbaugh,TS13_V2_turnbaugh,TS130_V2_turnbaugh,TS131_V2_turnbaugh,TS132_V2_turnbaugh,TS133_V2_turnbaugh,TS134_V2_turnbaugh,TS135_V2_turnbaugh,TS136_V2_turnbaugh,TS137_V2_turnbaugh,TS138_V2_turnbaugh,TS139_V2_turnbaugh,TS14_V2_turnbaugh,TS140_V2_turnbaugh,TS141_V2_turnbaugh,TS142_V2_turnbaugh,TS143_V2_turnbaugh,TS144_V2_turnbaugh,TS145_V2_turnbaugh,TS146_V2_turnbaugh,TS147_V2_turnbaugh,TS148_V2_turnbaugh,TS149_V2_turnbaugh,TS15_V2_turnbaugh,TS150_V2_turnbaugh,TS151_V2_turnbaugh,TS152_V2_turnbaugh,TS153_V2_turnbaugh,TS154.2_V2_turnbaugh,TS155_V2_turnbaugh,TS156_V2_turnbaugh,TS16_V2_turnbaugh,TS160_V2_turnbaugh,TS161_V2_turnbaugh,TS162_V2_turnbaugh,TS163_V2_turnbaugh,TS164_V2_turnbaugh,TS165_V2_turnbaugh,TS166_V2_turnbaugh,TS167_V2_turnbaugh,TS168_V2_turnbaugh,TS169_V2_turnbaugh,TS17_V2_turnbaugh,TS170_V2_turnbaugh,TS178_V2_turnbaugh,TS179_V2_turnbaugh,TS180_V2_turnbaugh,TS181_V2_turnbaugh,TS182_V2_turnbaugh,TS183_V2_turnbaugh,TS184_V2_turnbaugh,TS185_V2_turnbaugh,TS186_V2_turnbaugh,TS19_V2_turnbaugh,TS190_V2_turnbaugh,TS191_V2_turnbaugh,TS192_V2_turnbaugh,TS193_V2_turnbaugh,TS194_V2_turnbaugh,TS195_V2_turnbaugh,TS2_V2_turnbaugh,TS20_V2_turnbaugh,TS21_V2_turnbaugh,TS22_V2_turnbaugh,TS23_V2_turnbaugh,TS25_V2_turnbaugh,TS26_V2_turnbaugh,TS27_V2_turnbaugh,TS28_V2_turnbaugh,TS29_V2_turnbaugh,TS3_V2_turnbaugh,TS30_V2_turnbaugh,TS31_V2_turnbaugh,TS32_V2_turnbaugh,TS33_V2_turnbaugh,TS34_V2_turnbaugh,TS35_V2_turnbaugh,TS37_V2_turnbaugh,TS38_V2_turnbaugh,TS39_V2_turnbaugh,TS4_V2_turnbaugh,TS43_V2_turnbaugh,TS44_V2_turnbaugh,TS49_V2_turnbaugh,TS5_V2_turnbaugh,TS50_V2_turnbaugh,TS51_V2_turnbaugh,TS55_V2_turnbaugh,TS56_V2_turnbaugh,TS57_V2_turnbaugh,TS6_V2_turnbaugh,TS61_V2_turnbaugh,TS62_V2_turnbaugh,TS63_V2_turnbaugh,TS64_V2_turnbaugh,TS65_V2_turnbaugh,TS66_V2_turnbaugh,TS67_V2_turnbaugh,TS68_V2_turnbaugh,TS69_V2_turnbaugh,TS7_V2_turnbaugh,TS70_V2_turnbaugh,TS71_V2_turnbaugh,TS72_V2_turnbaugh,TS73_V2_turnbaugh,TS74_V2_turnbaugh,TS75_V2_turnbaugh,TS76_V2_turnbaugh,TS77_V2_turnbaugh,TS78_V2_turnbaugh,TS8_V2_turnbaugh,TS82_V2_turnbaugh,TS83_V2_turnbaugh,TS84_V2_turnbaugh,TS85_V2_turnbaugh,TS86_V2_turnbaugh,TS87_V2_turnbaugh,TS88_V2_turnbaugh,TS89_V2_turnbaugh,TS9_V2_turnbaugh,TS90_V2_turnbaugh,TS91_V2_turnbaugh,TS92_V2_turnbaugh,TS94_V2_turnbaugh,TS95_V2_turnbaugh,TS96_V2_turnbaugh,TS97_V2_turnbaugh,TS98_V2_turnbaugh,TS99.2_V2_turnbaugh
Turicibacter,0.00023707,0.00053207,0,0,0,0,0,0.00092272,0.00583868,0,0,0.0024283,0.00628801,0.0041131,0.00139251,0.00156973,0,0.0004094,0,0,0.00150339,0,0.00125409,0.0062416,0.00591167,0,0.0003522,0,0,0,0.00209246,0.00167073,0,0.00087776,0.00346993,0,0.00197214,0.00436509,0,0,0.00134509,0.00181042,0,0,0.00041859,0,0.0007486,0.00550622,0.00050457,0.00816324,0,0,0.00030007,0,0,0,0,0,0,0,0.00164409,0.01273893,0.02127357,0.0006303,0.00299478,0,0.00308928,0.00110786,0.00086752,0.00070808,0,0,0.0038712,0.00136937,0,0.00118252,0,0,0.00028627,0,0,0,0,0,0,0.00351739,0.0033818,4.21E-05,0.01372269,0.00507101,0.03375271,0.00379965,0.10534965,0.00020723,0,0,0,6.38E-05,0.00021182,0,0,0.00584894,0,0,0.00083237,0,0.00083444,0,0,0,0.00091262,0.00301742,0.0002954,0,0,0.00046846,0,0,0,0.0217027,0.00531177,0,0,0,0,0.00010852,0.0024775,0.01464237,0,0,0.00059345,0,0,0.00242363,0.00887769,0.00198855,0.00197289,0,0,0.00218449,0.00033109,0.00055883,0,0,0,0,0,0,0.00141907,0.00042003,0,0.00377739,0,0.00066294
Campylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140417,0.00013257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickeya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mobiluncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes,0.00089336,0,0,0.00133066,0.00227825,0.00097925,0.00033675,0.00278834,0.00138018,0.0013507,0.00140953,0.00110204,0.00056018,0,0,0,0,0.00154478,0.00092408,0,0.00075822,0.00063555,0,0.0004728,0,0.00143042,0.00106304,0,0.0032666,0,0,0.00063217,0,0.00265238,0,0.00180523,0,0.00116845,0,0,0,0.00114096,0,0,0,0.00024651,0.0001894,0.00075773,0.00114311,0.00069958,0.00097093,0.00238655,0,0,0,0.00057736,0,0,0.00041616,0.00098281,0.0006221,0,0.00044773,0,0.00075544,0,0.00046796,0,0.0006561,0,0,0,0.00024483,0.00025963,0.00025107,0,0,0,0.00047547,0,0.00126529,0.0010862,0.0022245,0.00034086,0,0.00133022,0.00124992,0.00118109,0.00115364,0.00170455,0.00076842,0.0006328,0.00040376,0.00109238,0.00062234,0.00021485,0.00396701,0.00109293,0.00024008,0.00102564,0,0,0,0.00267642,0,0.00090442,0.00063109,0,0.00113237,0.00165706,0.00427401,0.0005236,0.00356219,0.00051098,0.0015393,0.0002366,0.00143505,0.00035074,0.00084776,0,0,0,0,0,0.00029628,0.00032616,0,0.00027098,0.00050776,0.00027163,0.00089681,0.0011997,0.0003159,0.00109993,0,0.00012622,0.00049793,0.00057866,0,0.00082637,0,0,0,0.00040203,7.54E-05,0,0,0.00104016,0,0,0,0.00244814,0.00053458,0
Solirubrobacter,0,0.00324644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allisonella,0.00017947,0.0004025,0.0005411,0.00033341,0,0,0,0,0,0,0,0,0,0.00414608,0.00357779,0.0002382,0,0,0,0,0,0,0,0,0,0,0,0,0.00046751,0,0.00039629,0,0,0,0.00238515,0,0,0,0,0.00131427,0,0.00045698,0.00028807,0,0,0.00073754,0.0001894,0,0,0,0.00024348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058067,0,0,0,0.0007512,0.00089424,0.00070671,0,0,0,0,0,0,0,0,7.92E-05,0.00017527,9.42E-05,0,0,0,0,0,0,0,0,0,0,0.00095731,0.00017177,0,0,0,0,0,0,0.00094613,0,0,0,0.00027668,4.85E-05,0.00356219,0.00017099,0,0,0.00143505,0,0,0,0,0,0,0.00070831,0,0,0,0,0,0.00135413,0,0,0,0,0,0,0,0,0.00084894,0,0,0.00042273,0,0,0,0.00034778,0.00150865,0,0,0,0,0,0,0
Proteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tepidibacter,0,0.00682647,0,0.00033341,0.00759183,0.00195751,0,0.00313676,0.00138018,0,0.00669151,0.00036801,0.00056018,0.00103727,0,0.00047539,0.00040897,0,0.00046254,0,0,0,0.00094835,0.00283179,0.00055957,0,0,0,0.00070077,0.00031036,0.00355863,0,0,0,0.0016699,0,0.00298143,0.00020403,0,0,0.00169458,0.00661274,0.00028807,0,0,0.00073754,0,0.00015235,0.00019135,0,0.00436569,0,0,0,0.00262604,0.00173008,0,0.00109946,0,0.00417369,0.00683311,0.00654944,0,0.00190404,0.00867712,0,0.00280274,0,0.00163875,0.00347564,0.00029084,0,0.00243927,0.00116482,0,0.00044762,0.00035385,0,0.00073427,0.00032189,0.00284566,0,0,0,0.00127508,0.00015738,0.00267311,6.31E-05,0.00033033,0.00042689,0.00086435,0.00086255,0.00835819,0.00156012,0,0,0,0.00085555,0.00039946,0,0.01402414,0.00859763,0.00024462,0.00170354,0.00314365,0,0,0.00044919,0.00105155,0,0.00379157,0.00028606,0,0.00051098,0,0,0,0.00035074,0,0.00062404,0.00255601,0,0,0.00047254,0,0.00138292,0.0014052,0.00864028,0.00050776,0.00054225,0.00268842,0,0.00157548,0.00293147,0.00206589,0.00306884,0.00049793,0,0.00042497,0,0.00074967,0.00042273,0,0.00040203,7.54E-05,0.00034778,0.00150865,0.00052058,0.00053704,0,0,0.00040886,0,0
Faecalibacterium,0.17418932,0.20958304,0.09640871,0.03224514,0.09260907,0.18293458,0.0221603,0.10940406,0.07033897,0.10763977,0.12676854,0.03633541,0.07269501,0.16649492,0.08815846,0.24194157,0.17542838,0.03828663,0.08677049,0.06790013,0.01665978,0.02284495,0.05447373,0.04081152,0.17781192,0.11935768,0.18439778,0.11302448,0.02472623,0.05475741,0.19685658,0.16473662,0.13262343,0.12726731,0.19264002,0.07367356,0.12249649,0.08344817,0.31611324,0.30161634,0.14429397,0.128132,0.12258081,0.09209409,0.13859548,0.09943353,0.1548648,0.16330349,0.19688785,0.00011743,0.1331242,0.09214305,0.18088293,0.02938365,0.0531581,0.14524377,0.15495322,0.18124677,0.35205964,0.05743691,0.15838172,0.11170962,0.0111693,0.09443961,0.13353779,0.08238611,0.16133458,0.09121245,0.00949994,0.02646175,0.05391066,0.11229036,0.05461819,0.16293564,0.05901694,0.02590507,0.22829663,0.25697066,0.01285474,0.18836137,0.08407663,0.02837135,0.0729318,0.10739703,0.10320186,0.07498457,0.1829825,0.05779452,0.05631582,0.0293873,0.03693315,0.03429069,0.01359402,0.29015262,0.09537659,0.16092512,0.10142958,0.14484732,0.13284829,0.08766432,0.20099929,0.16235446,0.05676477,0.02237728,0.12869254,0.03714174,0.03843643,0.03271895,0.01446632,0.05213383,0.00951189,0.00489448,0.04607388,0.14653544,0.00717971,0.18942513,0.04302241,0.05980699,0.05207659,0.13021686,0.09855146,0.03679435,0.12338485,0.2025287,0.05137938,0.13242152,0.17037737,0.06614547,0.05574481,0.06846919,0.1800584,0,0.19555152,0.26410936,0.12905682,0.24711905,0.17094354,0.24319493,0.15941367,0.05488832,0.22809445,0.06494674,0.00910433,0.09745111,0.11285813,0.06484896,0.1311663,0.32629673,0.10345656,0.07666453,0.18870128,0.14438241,0.20222664,0.05579997
Alistipes,0.04667254,0,0.01652025,0.00050935,0.0023227,0.06058998,0.00256825,0.00426362,0.01856148,0.01960968,0.01615625,0.03479957,0.04660665,0.00422699,0.00707972,0.01850074,0.01185512,0.00141752,0,0,0.02489793,0.01455716,0.0166618,0.1132782,0.02021723,0.03005829,0.02639354,0,0.00285472,0.05156837,0.02357698,0.03571476,0.04154716,0.01774032,0.01677272,0.00184044,0.00683785,0.00333884,0.00550697,0.01004282,0.01502274,0.01603946,0.01536647,0.04167698,0.20905387,0.04205219,0.02247392,0.00625016,0.02464751,0.00089127,0.07639081,0.07342061,0.0210932,0.01728341,0.00903345,0.01234082,0.02582567,0.00616045,0.03111115,0.01464026,0.06933908,0.0064809,0.28010408,0.02983144,0.05076632,0.03749798,0.01428315,0.00767923,0.00100283,0,0.00133072,0.00943626,0.00633995,0.02768684,0.02906516,0.00341605,0.0107932,0.0017022,0.00514611,0.03091668,0.00241783,0.19014156,0.00612163,0.02286965,0.05699262,0.06791865,0.03033811,0.00489267,0.00755548,0,0.04019685,0.039264,0.0109337,0.01287635,0.0033267,0.01978695,0.02039018,0.06222141,0.02047549,0.01244959,0.00397235,0.00563528,0.01192308,0.00409247,0.04013102,0.01504494,0.0159001,0.00959673,0.00012458,0.00030491,0,0.03371306,0,0.00702013,0.00039308,0.0117108,0.00438712,0.01658148,0.10877503,0.20485425,0.03795789,0.19317065,0.01703537,0.01153893,0.05396273,0.02473954,0.03722286,0.0128,0.02170045,0.04221488,0.02465993,0.00091757,0.01444793,0.00112138,0.00394825,0.06884293,0,0.0017678,0,0,0.00534395,0.00580543,0.01124532,0.01349329,0.02535514,0.03182045,0,0,0.02869238,0.05426081,0.02500392,0.00249591,0.01020085,0.01301129
Akkermansia,0.00384806,0,0.00072863,0.00089667,0,0,0,0,0.00074422,0,0,0.0009899,0.00226104,0,0,0,0,0,0.00124459,0,0,0.01196939,0,0.02542567,0,0.00481537,0,0,0,0,0,0,0.0023623,0,0,0,0,0.00013777,0,0,0,0,0,0.01519323,0,0,0.00253915,0,0.00495895,0.01568665,0.00065436,0.00160794,0.00365632,0.002031,0,0,0,0,0,0,0,0,0.00963056,0,0.00305022,0.00528629,0.00125919,0,0,0,0,0.00110927,0.00328589,0,0.00067479,0,0,0,0,0,0,0.00041872,0,0,0.00772514,0.03434132,0.00360093,0.00217658,0,0,0,0.00108432,0.0005436,0,0,0,0,0.00550151,0,0.01043078,0,0,0.00065742,0.00065634,0.00338808,0,0.0084897,0,0.00021874,0.00053646,0,0.02598738,0,0,0,0.00285768,0,0,0.01026794,0,0,0.06869479,0,0,0.01153735,0,0.00126218,0.00072844,0.00136644,0.00802203,0,0,0,0,0,0.00118188,0,0,0,0,0,0,0,0,0.00240485,0.00654167,0,0,0.00433398,0.01195108,0.00183653,0,0,0
Hespellia,0.00196419,0.0004025,0,0.00066583,0.00379641,0.00146838,0.00604444,0.00034942,0.00055267,0,0.0010574,0,0.00111937,0,0.0002114,0.00284736,0.00040897,0.00092727,0,0,0.01514534,0.00729837,0.0018957,0,0.00037338,0,0.00292161,0.00625115,0.00466614,0.0148502,0.00079158,0.00568154,0,0.00099527,0.00023941,0.00270734,0.00476968,0.00076238,0,0,0.0084689,0.00091296,0.00057514,0.00031424,0.00126382,0.00638432,0.00282698,0.00015235,0.0002548,0.0031446,0.00024348,0.00029919,0.00067931,0.00678161,0,0.00115372,0.00328455,0,0.00041616,0.01153727,0.00621201,0.00423822,0.00044773,0.00142828,0.00075544,0.0013087,0.00233578,0,0,0.00053556,0,0.00288021,0.00024483,0.00142345,0.0007512,0.00223411,0.00317667,0,0.0066004,0.00032189,0.00537425,0.00480691,0.0017798,0.0017003,0.00095656,0.0124331,3.00E-05,0.00164692,0.02288919,0,0.007963,0.00764008,0.02839531,0.00717294,0.00372904,0.00695121,0.00464207,0.00014342,0.00039946,0.00039947,0,0,0.00024462,0.00073066,0.00094379,0.01746719,0.00315144,0.00896482,0.00145561,0.00390931,0.00069019,0.01862472,0.00200417,0.00221092,0,0.00718687,0.00143505,0.01119276,0.00677506,0.00290853,0.00401602,0.00463638,0.00428516,0.00047254,0,0.006179,0.00046907,0.00324073,0.00354833,0.00839038,0.00089681,0.01198801,0.0003159,0.00036731,0,0.00350711,0.00049793,0,0,0.00577861,0.0049921,0,0.00420254,0.00040203,0.00342091,0.00069456,0.00150865,0,0,0.00158496,0.00136346,0.00163243,0.00053458,0.00025122
Anaerotruncus,0.02605786,0.01325044,0.0021614,0.00598445,0,0.026903,0.00067249,0.00034942,0,0.00033843,0.0010574,0.01101143,0.00475407,0.01105454,0.02125137,0.00047539,0.00652853,0.00092727,0.0023087,0.00848839,0.008709,0.00190466,0.00568511,0.07407328,0.00465574,0.00285984,0.00278886,0.00312607,0.00116728,0.01299405,0.00672097,0.00252568,0.00642764,0.00198954,0.00190832,0.00781931,0.00685598,0.00096541,0.00252126,0.00175203,0.00033972,0.01915225,0.01090974,0.01597633,0.0508295,0.00147407,0.01149333,0.00696292,0.00203142,0.00186387,0.00169838,0.00477211,0.00090541,0.03691766,0.05840818,0.00345916,0.02329856,0.00183177,0.00083133,0.00147372,0.0024854,0.00423822,0.02814513,0.00237981,0.00641378,0.00294333,0.00770579,0.00669542,0.0013112,0.00026828,0.00318921,0.00041232,0.00975407,0.00271658,0.01900613,0.00134087,0.00105956,0.00222585,0.00655727,0.00256809,0.00063315,0.00713234,0.0035586,0.00204016,0.01592706,0.01298043,0.00319592,0.00239224,0.00395292,0.00042689,0.01314309,0.0058021,0.00805612,0.00452244,0.00932109,0.0040642,0.00059168,0.01481321,0.00119639,0.01428898,0.00311725,0.00515898,0.00365532,0.00437897,0.00172946,0.0005029,0.00126118,0.00313834,0.00121318,0.00059718,0.00075911,0.06295109,0.00133645,0.00017099,0,0.00059001,0,0.00070049,0.00296465,0.00187013,0.00365102,0.00231869,0,0.00023677,0.00324906,0.00349645,0.00327747,0.00108091,0.00152129,0.00568413,0.00403214,0,0.01228195,0.00073362,0,0.00394537,0.00049793,0,0.00169688,0.00123906,0.00424344,0.0181352,0.0024519,0.00080306,0.00111619,0.00832373,0.00603159,0,0.0396679,0.03896635,0.0047696,0,0.00373604,0.00300364
Bryantella,0.00071489,0,0.00135125,0.00166307,0.00076008,0.00244664,0,0.00418201,0,0.00033843,0.00035313,0.00146906,0.00111937,0.00034642,0.0004218,0.00071259,0.00040897,0.00154478,0,0,0,0.00063555,0.00094835,0.0002369,0.00055957,0.00035836,0.00159406,0.00026142,0.00023426,0,0,0.00189451,0.0014616,0.00198954,0.00023941,0.00150452,0.00387555,0.00121921,0,0.00043876,0.00169458,0.00159694,0.00028807,0.00125397,0,0.00098305,0.00075459,0.00045504,0.0002548,0.00186387,0.00072845,0,0.00135761,0,0,0.00057736,0,0.00036715,0.00041616,0,0,0.0003862,0.00089446,0.0011904,0.00037822,0.00098178,0.00093491,0,0.00032855,0.00026828,0,0,0,0.00129413,0,0.00134087,0.00105956,0,8.73E-05,0.00128455,0.00126529,0.00062112,0.0008904,0.00034086,0.00127508,0.00047014,0.0005238,0.0018022,0.00115364,0.00298222,0.00163177,0.0010923,0.00080651,0.00078056,0.00062234,0,0.00084483,0.0001909,8.07E-05,0.00199335,0.004156,0,0.00097549,0.00048744,0.0004724,0.00090442,0.00189127,0.00179376,0.0013748,0.00119336,0.00303346,0.00023855,0.00289447,0.00034099,0.00012919,0.0002366,0.00286909,0,0.00084776,0.00020868,0.000731,0,0,0.00094409,0.00029628,0.00048874,0.0014052,0.00162086,0.00050776,0,0.0004489,0,0.0003159,0.00109993,0,0.00031405,0,0.00057866,0,0.00082637,0,0,0,0.00200615,0.00029838,0.00069456,0.00150865,0.00104016,0,0,0,0.00081671,0,0
Mahella,0,0,0,0,0,0,0,0,0,0,0,0,0.0007201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002021,0,0,0,0,0,0,0.00025997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethanoligenens,0.00089336,0,0,0,0,0.00049013,0.00033675,0,0,0,0,0.00036801,0,0,0,0.0002382,0,0,0,0,0.00037961,0.00127011,0.00094835,0.0009446,0,0.00107307,0,0.00078227,0,0,0.00039629,0,0.00087736,0,0,0,0.00029904,0.00010252,0,0,0,0,0,0.00062748,0.00094811,0,0,0,6.45E-05,0,0,0,0,0,0.00065726,0,0.00125188,0,0,0,0,0,0,0,0.00188711,0.00098178,0.00023448,0.0008378,0,0,0,0,0,0.00013031,0,0,0,0,0,0,0,0.00031106,0,0.00136044,0.00159361,0.00250306,3.00E-05,0.00043577,0.00148297,0,9.69E-05,0.00040306,0.00080651,0.00187194,0.00031167,0,0.00033853,0.0005707,0,0,0,0,0,0,0,0,0,0.00044919,0.00032425,0,0,4.85E-05,0,0,0,0.00129681,0,0.00105023,0.00084776,0.00041636,0.000366,0.00173927,0,0,0,0.00032616,0,0.00054095,0.00101452,0.00054225,0,0,0,0,0,0.00018883,0,0,0,0.00041369,0,0,0,0,7.54E-05,0,0,0,0,0,0,0,0.00106815,0.00050144
Soehngenia,0,0,0,0,0,0,0,0,0,0,0,0.00074267,0,0,0,0,0,0,0,0,0,0.00064216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetanaerobacterium,0.00035794,0,0.00027105,0,0,0.00049013,0.00033675,0,0,0.00033843,0,0,0.00028059,0.00034642,0.0008426,0,0,0.00061851,0,0,0.00075822,0.00031828,0,0.0004728,0,0.00107307,0.00053202,0,0.00023426,0,0.00118688,0.00063217,0,0,0.00047783,0,0,0.00015328,0.00036104,0,0,0,0.00028807,0.00031424,0.0003167,0.00024651,0.0001894,0,0.0003817,0.00046672,0.00024348,0.00119378,0.0002271,0,0.00065726,0,0.00047008,0.00036715,0.00083133,0,0.0006221,0.0003862,0.00223466,0.00047676,0,0.00032792,0,0.0016746,0,0,0,0.00041232,0.00024483,0.00025963,0,0,0,0,0.00034607,0,0,0.00077615,0.0004457,0.00034086,0,0.0007047,0,6.31E-05,0.00049499,0,0.00028878,0.0006328,0.00141065,0.00046873,0,0.00032178,8.54E-05,0.00014342,8.07E-05,0.00074101,0,0.00073785,0,0.00048744,0.00031526,0,0.00063109,0,0.00032425,0.00053094,6.99E-05,0.00095119,0,0,0,0.0001188,0,0,0.00084776,0.00083172,0.000731,0.00202898,0,0,0,0.00016358,0,0,0.00050776,0,0.0004489,0,0,0,0,0.00075231,0.00049793,0,0,0,0.00050011,0.0016879,0,0,7.54E-05,0.00034778,0,0,0.00053704,0.00031779,0.00068223,0,0,0.00025122
Anaerofustis,0,0,0,0,0,0,0,0,0,0,0,0,0.00028059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031952,0.00023557,5.91E-05,0,0,0,0,0,0.00010169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oribacterium,0.00053641,0.00441748,0.00081115,0,0,0.00049013,0,0.00069783,0.00082851,0,0.00211379,0,0.00279692,0.00069185,0.0002114,0,0,0.00061851,0.00046254,0,0,0,0,0.00471898,0.00018719,0.00143042,0.00053202,0.00026142,0,0,0.00039629,0.00505037,0,0,0.00143149,0.00150452,0,0.00025479,0,0.00087652,0.00033972,0.00068497,0.00057514,0,0.0003167,0.00171959,0.0001894,0.00060638,0.00101621,0,0.0014559,0,0.0002271,0,0,0,0.00047008,0,0,0,0,0,0,0,0.00075544,0.0026164,0.00046796,0,0,0,0,0,0.00073248,0.00051825,0,0,0,0.00055721,0,0.00064277,0,0.00139626,0,0.00034086,0.00031952,0.00101746,0.00075616,0.00121215,0,0,0,0,0,0.00031282,0.00093301,0,0.00067607,0,0.00016038,0.00039947,0.00259788,0.00049224,0,0.00097388,0.00172946,0,0,0,0.00016262,0.00066342,0.0003456,9.60E-05,0.00044615,0.00034099,0,0,0.00143505,0,0,0,0.00146101,0.00029071,0.00085783,0.00070831,0.00029628,0.00040745,0.00374554,0.00108091,0,0,0,0,0.00126058,0,0,0.0027558,0,0,0.00042497,0,0.00025056,0,0,0,0.00044708,0.00034778,0,0,0,0.00031779,0.00068223,0.00163243,0,0
